rentcafe_property_code,voyager_property_code,voyager_property_id,property_name,property_address,rentcafe_property_id
p1688239,.1X1ONLY,7666,Scattered Home 1x1,"123 Main St, Atlanta, GA, 30301",1720163
p1635487,.ATLANTA,38,Atlanta Market,"Atlanta Market, Atlanta, GA, 30301",1667262
p1670580,.CLT,7358,Charlotte Market,"Charlotte Market, Charlotte, NC, 11111",1702478
p1732696,.CMFARMS,7742,Sunrise Farm Community,"123 test, test, ID, 75254",1764822
p1670584,.COLUMB,39,Columbia Market,"Columbia Market, Columbina, SC, 11111",1702482
p1670356,.INDY,40,Indianapolis Market,"Indianapolis Market, Indianapolis, IN, 11111",1702253
p1670350,.JACK,41,Jacksonville Market,"Jacksonville Market, 123 Market Street, FL, 11111",1702247
p1670361,.KC,42,Kansas City Market,"Kansas City Market, Kansas City, MO, 11111",1702258
p1670358,.MEMPH,43,Memphis Market,"Memphis Market, Memphis, TN, 11111",1702255
p1670576,.NASH,44,Nashville Market,"Nashville Market, Nashville, TN, 11111",1702474
p1670354,.ORLAND,45,Orlando Market,"Orlando Market, Orlando, FL, 11111",1702251
p1784373,.P3ABOTT,24,Abbots Glen,"652 Patmore Dr., Irmo, SC, 64030",1816497
p1670578,.SANTO,46,San Antonio Market,"San Antonio Market, San Antonio, TX, 11111",1702476
p1670298,.TAMPA,47,Tampa Market,"Tampa Market, Tampa, FL, 30301",1702195
p1670582,.WILMING,7355,Wilmington Market,"Wilmington Market, Wilmington, NC, 11111",1702480
p1655245,ATL00001,3532,4188 Valtek Drive,"4188 Valtek Drive, Suwanee, GA, 30024",1687102
p1655246,ATL00002,3533,4198 Valtek Drive,"4198 Valtek Drive, Suwanee, GA, 30024",1687103
p1655255,ATL00003,3534,747 Valtek Court,"747 Valtek Court, Suwanee, GA, 30024",1687112
p1655256,ATL00004,3535,737 Valtek Court,"737 Valtek Court, Suwanee, GA, 30024",1687113
p1655257,ATL00005,3536,727 Valtek Court,"727 Valtek Court, Suwanee, GA, 30024",1687114
p1655258,ATL00006,3537,717 Valtek Court,"717 Valtek Court, Suwanee, GA, 30024",1687115
p1655259,ATL00007,3538,707 Valtek Court,"707 Valtek Court, Suwanee, GA, 30024",1687116
p1655260,ATL00008,3539,647 Valtek Court,"647 Valtek Court, Suwanee, GA, 30024",1687117
